,solved,time,tries
0,1,4.3387086391448975,1644
1,1,3.0985288619995117,1136
2,1,3.9420981407165527,1420
3,1,0.7201249599456787,269
4,1,0.4514658451080322,120
5,1,2.2642080783843994,866
6,1,5.017332553863525,1919
7,1,3.5987517833709717,1372
8,1,2.1004199981689453,814
9,1,0.777855634689331,292
10,1,3.8753342628479004,1410
11,1,4.734100818634033,1792
12,1,1.9576807022094727,759
13,1,0.27756524085998535,73
14,1,1.86517333984375,725
15,1,1.908294439315796,718
16,1,4.504147291183472,1650
17,1,2.0123932361602783,770
18,1,3.995715618133545,1465
19,1,1.8431622982025146,710
