4,1592,5.0
4,841,3.0
4,1498,5.0
4,1752,5.0
4,673,2.0
4,944,3.0
4,1788,5.0
4,328,1.0
4,1083,4.0
4,2202,6.0
5,2940,27.0
5,1433,13.0
5,79,1.0
5,1466,13.0
5,3696,33.0
5,1613,15.0
5,766,7.0
5,1880,18.0
5,2813,27.0
5,3810,35.0
6,2980,64.0
6,1086,24.0
6,1003,22.0
6,2375,53.0
6,5097,113.0
6,3681,81.0
6,6294,138.0
6,1315,28.0
6,6670,146.0
6,5268,115.0
7,4341,166.0
7,3701,140.0
7,4647,180.0
7,3509,133.0
7,6441,251.0
7,1187,47.0
7,2415,89.0
7,9016,349.0
7,7923,304.0
7,3766,144.0
8,1844,93.0
8,1608,83.0
8,8088,406.0
8,604,31.0
8,8074,400.0
8,5671,289.0
8,6360,320.0
8,7358,368.0
8,2511,122.0
8,8108,404.0
